,month,region,area,crime,Violence and sexual offences,Vehicle crime,Possession of weapons,Shoplifting,Criminal damage and arson,Drugs,Violent crime,Public order,Theft from the person,Public disorder and weapons,Anti-social behaviour,Robbery,Other theft,Bicycle theft,Burglary,Other crime
0,2010-12-01,avon-and-somerset,Avon and Somerset Constabulary,12201,0.0,5.032374395541349,0.0,0.0,0.0,0.0,13.285796246209328,0.0,0.0,0.0,42.44734038193591,0.6065076633062864,0.0,0.0,8.06491271207278,30.56306860093435
1,2011-01-01,avon-and-somerset,Avon and Somerset Constabulary,13781,0.0,5.558377476235396,0.0,0.0,0.0,0.0,12.444670198098832,0.0,0.0,0.0,39.206153399608155,0.5732530295334156,0.0,0.0,8.598795443001233,33.61875045352296
2,2011-02-01,avon-and-somerset,Avon and Somerset Constabulary,13998,0.0,4.893556222317474,0.0,0.0,0.0,0.0,12.137448206886699,0.0,0.0,0.0,40.32004572081726,0.5643663380482926,0.0,0.0,8.108301185883697,33.97628232604658
3,2011-03-01,avon-and-somerset,Avon and Somerset Constabulary,15259,0.0,4.731633789894489,0.0,0.0,0.0,0.0,12.3533652270791,0.0,0.0,0.0,41.65410577364179,0.44563863949144766,0.0,0.0,7.149878760076021,33.66537780981716
4,2011-04-01,avon-and-somerset,Avon and Somerset Constabulary,16688,0.0,5.123441994247363,0.0,0.0,0.0,0.0,11.48130393096836,0.0,0.0,0.0,45.33796740172579,0.46740172579098754,0.0,0.0,6.417785234899329,31.17209971236817
5,2011-05-01,avon-and-somerset,Avon and Somerset Constabulary,15930,0.0,5.241682360326428,0.0,0.0,0.0,0.0,11.983678593848085,0.0,0.0,0.0,40.19460138104206,0.5210295040803515,0.0,0.0,7.928436911487759,34.130571249215315
6,2011-06-01,avon-and-somerset,Avon and Somerset Constabulary,16013,0.0,4.590020608255792,0.0,0.0,0.0,0.0,12.158870917379629,0.0,0.0,0.0,40.31099731468182,0.47461437581964655,0.0,0.0,7.137950415287579,35.32754636857553
7,2011-07-01,avon-and-somerset,Avon and Somerset Constabulary,16987,0.0,3.92064519927003,0.0,0.0,0.0,0.0,12.09748631306293,0.0,0.0,0.0,44.828398186848766,0.5827986107023018,0.0,0.0,6.446105845646671,32.1245658444693
8,2011-08-01,avon-and-somerset,Avon and Somerset Constabulary,16287,0.0,4.23036777798244,0.0,0.0,0.0,0.0,11.948179529686254,0.0,0.0,0.0,44.943820224719104,0.41137103211149995,0.0,0.0,6.753852766009701,31.712408669491005
9,2011-09-01,avon-and-somerset,Avon and Somerset Constabulary,15063,0.0,4.554205669521344,0.0,6.784837017858329,8.783110934076877,2.449711212905796,13.423620792670782,0.0,0.0,0.25891256721768574,42.51477129389896,0.4779924317864967,10.595498904600678,0.0,7.090221071499701,3.0671181039633537
10,2011-10-01,avon-and-somerset,Avon and Somerset Constabulary,15740,0.0,4.51715374841169,0.0,6.0038119440914866,8.475222363405337,2.662007623888183,13.202033036848793,0.0,0.0,0.23506988564167725,44.326556543837356,0.590851334180432,10.419313850063533,0.0,6.550190597204574,3.017789072426938
11,2011-11-01,avon-and-somerset,Avon and Somerset Constabulary,15630,0.0,5.841330774152271,0.0,6.442738323736404,10.639795265515035,3.531669865642994,14.120281509916827,0.0,0.0,0.2559181062060141,36.00767754318618,0.7677543186180422,11.509916826615482,0.0,7.99744081893794,2.885476647472809
12,2011-12-01,avon-and-somerset,Avon and Somerset Constabulary,13252,0.0,6.542408693027467,0.0,7.100814971325083,11.30395412013281,4.897373981285844,15.635375792333233,0.0,0.0,0.1584666465439179,31.067008753395715,0.6791427709025053,11.18321762752792,0.0,8.376094174464232,3.0561424690612737
13,2012-01-01,avon-and-somerset,Avon and Somerset Constabulary,13857,0.0,6.38666378003897,0.0,6.50212888792668,10.723821895071083,3.7742657140795264,14.447571624449736,0.0,0.0,0.2670130619903298,35.779750306704194,0.6855740780832792,10.139279786389551,0.0,7.938226167280075,3.3557046979865772
14,2012-02-01,avon-and-somerset,Avon and Somerset Constabulary,13454,0.0,5.76036866359447,0.0,5.931321540062435,10.368663594470046,3.5751449383083096,13.661364649918239,0.0,0.0,0.34190575293592984,36.36093355136019,0.7432733759476735,12.093057826668648,0.0,7.246915415489817,3.9170506912442398
15,2012-03-01,avon-and-somerset,Avon and Somerset Constabulary,15289,0.0,4.977434757014847,0.0,6.050101380077179,9.896003662764079,3.3553535221401005,13.506442540388514,0.0,0.0,0.22238210478121526,40.19883576427497,0.588658512656158,11.380731244685721,0.0,6.926548498920793,2.8975080122964223
16,2012-04-01,avon-and-somerset,Avon and Somerset Constabulary,13874,0.0,5.8166354331843735,0.0,6.501369468069771,9.434914228052472,3.964249675652299,14.08389793859017,0.0,0.0,0.26668588727115466,37.5882946518668,0.8144731151794724,10.804382297823267,0.0,7.395127576762289,3.3299697275479314
17,2012-05-01,avon-and-somerset,Avon and Somerset Constabulary,15532,0.0,5.60133917074427,0.0,5.845995364408962,10.06953386556786,3.8114859644604686,14.125676023693021,0.0,0.0,0.1673963430337368,39.653618336337885,0.5987638423899048,10.520216327581768,0.0,6.348184393510173,3.2577903682719547
18,2012-06-01,avon-and-somerset,Avon and Somerset Constabulary,14559,0.0,6.222954873274263,0.0,5.845181674565561,9.327563706298509,4.299745861666323,13.476200288481351,0.0,0.0,0.29534995535407654,38.80074180919019,0.576962703482382,10.660072807198297,0.0,7.129610550175149,3.3656157703138954
19,2012-07-01,avon-and-somerset,Avon and Somerset Constabulary,15179,0.0,5.705250675275051,0.0,5.435140654852098,8.64352065353449,3.4521378219909087,13.834903485078069,0.0,0.0,0.1910534290796495,41.76164437709994,0.5731602872389485,10.66605178206733,0.0,6.825219052638514,2.9119177811450028
20,2012-08-01,avon-and-somerset,Avon and Somerset Constabulary,15148,0.0,5.102983892263005,0.0,6.053604436229205,9.294956429891736,2.9970953261156588,12.641932928439397,0.0,0.0,0.09902297332981251,43.11460258780037,0.49511486664906257,10.423818325851597,0.0,7.149458674412464,2.6274095590176922
21,2012-09-01,avon-and-somerset,Avon and Somerset Constabulary,14467,0.0,5.52982650169351,0.0,5.882352941176471,9.110389161540057,3.5736503767194305,13.548074929149099,0.0,0.0,0.17971936130503904,41.05896177507431,0.6359300476947536,10.575793184488838,0.0,7.7002834036082115,2.205018317550287
